epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,125.149,0.83823,4.79129,1.27471,0.00984,0.60537,0.01481,0.01313,0.4977,3.80182,1.05634,3.11834e-05,3.11834e-05,3.11834e-05
2,237.926,0.60179,4.35495,1.10101,0.01139,0.8758,0.02537,0.02174,0.52805,3.41698,1.05531,6.04537e-05,6.04537e-05,6.04537e-05
3,348.833,0.60614,4.00613,1.09508,0.30953,0.08669,0.04044,0.03546,0.49106,3.14529,1.02357,8.7656e-05,8.7656e-05,8.7656e-05
4,460.465,0.59856,3.74411,1.08268,0.26311,0.09053,0.06157,0.05473,0.47531,2.97715,1.00163,8.4694e-05,8.4694e-05,8.4694e-05
5,570.787,0.57498,3.50813,1.06657,0.29729,0.20414,0.09832,0.08705,0.44994,2.77481,0.97902,8.1592e-05,8.1592e-05,8.1592e-05
6,681.007,0.55808,3.32601,1.05142,0.23937,0.24192,0.13344,0.12067,0.42546,2.60706,0.9644,7.849e-05,7.849e-05,7.849e-05
7,791.456,0.54091,3.1614,1.03711,0.26979,0.27555,0.16857,0.15302,0.4207,2.53391,0.97204,7.5388e-05,7.5388e-05,7.5388e-05
8,901.364,0.51686,3.01585,1.02644,0.26691,0.30325,0.20835,0.19031,0.40419,2.38013,0.9504,7.2286e-05,7.2286e-05,7.2286e-05
9,1017.47,0.50928,2.90466,1.0227,0.26967,0.35935,0.23413,0.21521,0.39568,2.31835,0.94533,6.9184e-05,6.9184e-05,6.9184e-05
10,1129.57,0.51009,2.79806,1.02848,0.26478,0.39239,0.27825,0.25595,0.38181,2.1976,0.9361,6.6082e-05,6.6082e-05,6.6082e-05
11,1244.75,0.50051,2.71902,1.01827,0.28507,0.40833,0.31054,0.28804,0.37706,2.09925,0.93734,6.298e-05,6.298e-05,6.298e-05
12,1359.79,0.49161,2.6364,1.0091,0.30126,0.42939,0.33835,0.31377,0.38187,2.0152,0.944,5.9878e-05,5.9878e-05,5.9878e-05
13,1475.75,0.47626,2.56069,1.00465,0.30741,0.44878,0.36891,0.34211,0.38067,1.95707,0.93811,5.6776e-05,5.6776e-05,5.6776e-05
14,1589.15,0.48088,2.4862,1.00529,0.35422,0.46964,0.38844,0.36222,0.37484,1.90553,0.93494,5.3674e-05,5.3674e-05,5.3674e-05
15,1704.14,0.46937,2.42492,1.00275,0.37674,0.47275,0.39146,0.3665,0.36605,1.88665,0.9293,5.0572e-05,5.0572e-05,5.0572e-05
16,1815.85,0.46774,2.37937,0.99874,0.38825,0.53048,0.43539,0.4083,0.36842,1.80238,0.92874,4.747e-05,4.747e-05,4.747e-05
17,1930.85,0.46019,2.30944,0.99459,0.40646,0.5249,0.45056,0.42259,0.36373,1.74762,0.92123,4.4368e-05,4.4368e-05,4.4368e-05
18,2043.59,0.45834,2.26536,0.99542,0.41006,0.52088,0.4614,0.42763,0.38587,1.71965,0.93247,4.1266e-05,4.1266e-05,4.1266e-05
19,2162.23,0.45531,2.23515,0.99325,0.42405,0.54434,0.48764,0.45749,0.35797,1.66906,0.91351,3.8164e-05,3.8164e-05,3.8164e-05
20,2279.11,0.45708,2.2124,0.99289,0.44897,0.54212,0.50338,0.47567,0.34962,1.6375,0.91485,3.5062e-05,3.5062e-05,3.5062e-05
21,2395.8,0.32474,2.32048,0.95809,0.42327,0.54283,0.48535,0.45835,0.35212,1.63325,0.92451,3.196e-05,3.196e-05,3.196e-05
22,2508.42,0.31161,2.11182,0.94768,0.42706,0.57573,0.52021,0.49237,0.33475,1.54097,0.91006,2.8858e-05,2.8858e-05,2.8858e-05
23,2618.33,0.30096,2.02232,0.94056,0.46936,0.59562,0.54812,0.52176,0.32409,1.47604,0.90798,2.5756e-05,2.5756e-05,2.5756e-05
24,2728.04,0.29342,1.96595,0.93966,0.50505,0.60717,0.56346,0.53531,0.33392,1.44156,0.90861,2.2654e-05,2.2654e-05,2.2654e-05
25,2837.87,0.29203,1.89016,0.94295,0.51307,0.61308,0.58233,0.55462,0.32696,1.40663,0.90276,1.9552e-05,1.9552e-05,1.9552e-05
26,2948.79,0.29247,1.87,0.93496,0.5043,0.6454,0.59311,0.56464,0.32548,1.38167,0.90201,1.645e-05,1.645e-05,1.645e-05
27,3058.44,0.28055,1.81948,0.93088,0.52631,0.64924,0.60171,0.57452,0.31942,1.3579,0.8959,1.3348e-05,1.3348e-05,1.3348e-05
28,3166.95,0.27815,1.77748,0.92314,0.53113,0.63926,0.60682,0.58037,0.31406,1.34386,0.8919,1.0246e-05,1.0246e-05,1.0246e-05
29,3277.32,0.27661,1.76075,0.92298,0.53637,0.65007,0.61132,0.58491,0.31314,1.33798,0.89062,7.144e-06,7.144e-06,7.144e-06
30,3387.29,0.27151,1.73691,0.92184,0.53597,0.64346,0.61306,0.58614,0.31467,1.32466,0.89232,4.042e-06,4.042e-06,4.042e-06
